消费时间,应付金额
2026-03-14 23:45:00,0
2026-03-14 23:45:00,0
2026-03-15 03:33:00,0
2026-03-15 03:33:00,0
2026-03-15 03:34:00,0
2026-03-15 03:34:00,0
2026-03-15 03:35:00,0
2026-03-15 03:35:00,0
2026-03-15 03:37:00,0
2026-03-15 03:37:00,0
2026-03-15 03:42:00,0
2026-03-15 03:42:00,0
2026-03-15 03:44:00,0
2026-03-15 03:44:00,0
2026-03-15 03:45:00,0
2026-03-15 03:45:00,0
2026-03-15 03:47:00,0
2026-03-15 03:47:00,0
2026-03-15 03:48:00,0
2026-03-01 00:00:00,0.0024624
2026-03-01 01:00:00,0.0006008
2026-03-01 02:00:00,0.0002656
2026-03-01 03:00:00,0.0003176
2026-03-01 04:00:00,0.0005744
2026-03-01 05:00:00,0.0005424
2026-03-01 06:00:00,0.0007344
2026-03-01 07:00:00,0.0004416
2026-03-01 08:00:00,0.0004408
2026-03-01 09:00:00,0.000504
2026-03-01 10:00:00,0.0008432
2026-03-01 11:00:00,0.0005016
2026-03-01 12:00:00,0.0005928
2026-03-01 13:00:00,0.0006912
2026-03-01 14:00:00,0.0006184
2026-03-01 15:00:00,0.0008352
2026-03-01 16:00:00,0.0006088
2026-03-01 17:00:00,0.0007
2026-03-01 18:00:00,0.0006488
2026-03-01 19:00:00,0.0013088
2026-03-01 20:00:00,0.0006344
2026-03-01 21:00:00,0.0144248
2026-03-01 22:00:00,0.0169624
2026-03-01 23:00:00,0.0078792
2026-03-02 00:00:00,0.0008152
2026-03-02 01:00:00,0.0006944
2026-03-02 02:00:00,0.0006728
2026-03-02 03:00:00,0.00068
2026-03-02 04:00:00,0.0009328
2026-03-02 05:00:00,0.0006856
2026-03-02 06:00:00,0.0006816
2026-03-02 07:00:00,0.000864
2026-03-02 08:00:00,0.0006984
2026-03-02 09:00:00,0.0009072
2026-03-02 10:00:00,0.0017688
2026-03-02 11:00:00,0.0027872
2026-03-02 12:00:00,0.0029304
2026-03-02 13:00:00,0.003312
2026-03-02 14:00:00,0.002532
2026-03-02 15:00:00,0.0007832
2026-03-02 16:00:00,0.0006752
2026-03-02 17:00:00,0.0007616
2026-03-02 18:00:00,0.0006336
2026-03-02 19:00:00,0.0006136
2026-03-02 20:00:00,0.0007264
2026-03-02 21:00:00,0.0006848
2026-03-02 22:00:00,0.0007776
2026-03-02 23:00:00,0.000884
2026-03-03 00:00:00,0.0008568
2026-03-03 01:00:00,0.0008728
2026-03-03 02:00:00,0.00164
2026-03-03 03:00:00,0.0024704
2026-03-03 04:00:00,0.0022784
2026-03-03 05:00:00,0.001768
2026-03-03 06:00:00,0.0010184
2026-03-03 07:00:00,0.0034568
2026-03-03 08:00:00,0.0034624
2026-03-03 09:00:00,0.003348
2026-03-03 10:00:00,0.0034824
2026-03-03 11:00:00,0.001752
2026-03-03 12:00:00,0.001208
2026-03-03 13:00:00,0.0013392
2026-03-03 14:00:00,0.0013408
2026-03-03 15:00:00,0.0010376
2026-03-03 16:00:00,0.0022568
2026-03-03 17:00:00,0.001912
2026-03-03 18:00:00,0.0020968
2026-03-03 19:00:00,0.0009336
2026-03-03 20:00:00,0.0009464
2026-03-03 21:00:00,0.0021024
2026-03-03 22:00:00,0.0021792
2026-03-03 23:00:00,0.0011832
2026-03-04 00:00:00,0.001284
2026-03-04 01:00:00,0.001216
2026-03-04 02:00:00,0.0012528
2026-03-04 03:00:00,0.0013704
2026-03-04 04:00:00,0.0012672
2026-03-04 05:00:00,0.0012376
2026-03-04 06:00:00,0.0012616
2026-03-04 07:00:00,0.0012832
2026-03-04 08:00:00,0.0012936
2026-03-04 09:00:00,0.0012944
2026-03-04 10:00:00,0.0014024
2026-03-04 11:00:00,0.0012992
2026-03-04 12:00:00,0.0013056
2026-03-04 13:00:00,0.0015464
2026-03-04 14:00:00,0.0012752
2026-03-04 15:00:00,0.0013664
2026-03-04 16:00:00,0.0012264
2026-03-04 17:00:00,0.001212
2026-03-04 18:00:00,0.0012048
2026-03-04 19:00:00,0.0012576
2026-03-04 20:00:00,0.0010568
2026-03-04 21:00:00,0.0010632
2026-03-04 22:00:00,0.0010432
2026-03-04 23:00:00,0.0010728
2026-03-05 00:00:00,0.0011
2026-03-05 01:00:00,0.001112
2026-03-05 02:00:00,0.0011016
2026-03-05 03:00:00,0.001144
2026-03-05 04:00:00,0.001204
2026-03-05 05:00:00,0.001092
2026-03-05 06:00:00,0.0011
2026-03-05 07:00:00,0.0012144
2026-03-05 08:00:00,0.0013312
2026-03-05 09:00:00,0.0013384
2026-03-05 10:00:00,0.0013392
2026-03-05 11:00:00,0.0013688
2026-03-05 12:00:00,0.0014056
2026-03-05 13:00:00,0.0015624
2026-03-05 14:00:00,0.0013328
2026-03-05 15:00:00,0.0014088
2026-03-05 16:00:00,0.0014472
2026-03-05 17:00:00,0.0013416
2026-03-05 18:00:00,0.0013864
2026-03-05 19:00:00,0.0013288
2026-03-05 20:00:00,0.0015864
2026-03-05 21:00:00,0.0014696
2026-03-05 22:00:00,0.0014024
2026-03-05 23:00:00,0.0014584
2026-03-06 00:00:00,0.0013568
2026-03-06 01:00:00,0.001384
2026-03-06 02:00:00,0.0013592
2026-03-06 03:00:00,0.0013872
2026-03-06 04:00:00,0.0014176
2026-03-06 05:00:00,0.0014056
2026-03-06 06:00:00,0.001352
2026-03-06 07:00:00,0.0013856
2026-03-06 08:00:00,0.0013856
2026-03-06 09:00:00,0.0014496
2026-03-06 10:00:00,0.0014464
2026-03-06 11:00:00,0.0014552
2026-03-06 12:00:00,0.001416
2026-03-06 13:00:00,0.0016056
2026-03-06 14:00:00,0.0014416
2026-03-06 15:00:00,0.0017344
2026-03-06 16:00:00,0.001464
2026-03-06 17:00:00,0.0015152
2026-03-06 18:00:00,0.0014608
2026-03-06 19:00:00,0.001348
2026-03-06 20:00:00,0.0013704
2026-03-06 21:00:00,0.0013616
2026-03-06 22:00:00,0.0013312
2026-03-06 23:00:00,0.0013272
2026-03-07 00:00:00,0.001364
2026-03-07 01:00:00,0.0015696
2026-03-07 02:00:00,0.001468
2026-03-07 03:00:00,0.001396
2026-03-07 04:00:00,0.0014096
2026-03-07 05:00:00,0.0014848
2026-03-07 06:00:00,0.0014376
2026-03-07 07:00:00,0.0014744
2026-03-07 08:00:00,0.0013736
2026-03-07 09:00:00,0.0014192
2026-03-07 10:00:00,0.0014752
2026-03-07 11:00:00,0.0014304
2026-03-07 12:00:00,0.001468
2026-03-07 13:00:00,0.0014392
2026-03-07 14:00:00,0.001216
2026-03-07 15:00:00,0.0013024
2026-03-07 16:00:00,0.0013016
2026-03-07 17:00:00,0.0012368
2026-03-07 18:00:00,0.0012392
2026-03-07 19:00:00,0.001204
2026-03-07 20:00:00,0.0012256
2026-03-07 21:00:00,0.001216
2026-03-07 22:00:00,0.0012208
2026-03-07 23:00:00,0.0011888
2026-03-08 00:00:00,0.0011544
2026-03-08 01:00:00,0.0011368
2026-03-08 02:00:00,0.001132
2026-03-08 03:00:00,0.0010608
2026-03-08 04:00:00,0.0010024
2026-03-08 05:00:00,0.0010328
2026-03-08 06:00:00,0.0010016
2026-03-08 07:00:00,0.0011896
2026-03-08 08:00:00,0.0010688
2026-03-08 09:00:00,0.0011048
2026-03-08 10:00:00,0.0009272
2026-03-08 11:00:00,0.000816
2026-03-08 12:00:00,0.0007032
2026-03-08 13:00:00,0.0008464
2026-03-08 14:00:00,0.0006408
2026-03-08 15:00:00,0.0006624
2026-03-08 16:00:00,0.0006552
2026-03-08 17:00:00,0.0007128
2026-03-08 18:00:00,0.0038912
2026-03-08 19:00:00,0.0032368
2026-03-08 20:00:00,0.0006976
2026-03-08 21:00:00,0.0008224
2026-03-08 22:00:00,0.0009112
2026-03-08 23:00:00,0.0006264
2026-03-09 00:00:00,0.0005296
